,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,KTR,2018-09-01,2019-08-30,363,Saturday,455639,EUR,34151,500003,298606,0.06830159019045885,8.743697109894294,0.5972084167494995,30-35,F,lauriepowell,amanda50@cohen.net,Karina Jones,F,77
1,GRZ,2016-08-11,2017-07-25,348,Thursday,446925,USD,6763,499999,143352,0.013526027052054104,21.196510424367883,0.28670457340914685,20-35,F,lauriepowell,amanda50@cohen.net,Karina Jones,F,77
2,AKX,2018-06-24,2019-04-24,304,Sunday,443232,USD,39992,500005,92604,0.07998320016799831,2.3155631126225247,0.1852061479385206,40-60,M,lauriepowell,amanda50@cohen.net,Karina Jones,F,77
3,KTR,2016-09-12,2017-07-21,312,Monday,757776,GBP,28815,499997,730385,0.05763034578207469,25.347388512927296,1.460778764672588,40-45,F,lauriepowell,amanda50@cohen.net,Karina Jones,F,77
4,KTR,2016-08-17,2018-08-06,719,Wednesday,444264,USD,3337,500001,260043,0.006673986652026696,77.92718010188793,0.5200849598300803,20-35,B,lauriepowell,amanda50@cohen.net,Karina Jones,F,77
5,KTR,2016-02-09,2018-03-29,779,Tuesday,447803,EUR,16437,500004,183705,0.03287373701010392,11.176309545537507,0.36740706074351404,35-40,F,lauriepowell,amanda50@cohen.net,Karina Jones,F,77
6,GRZ,2016-11-19,2018-01-13,420,Saturday,587824,GBP,34016,500000,407929,0.068032,11.992268344308561,0.815858,45-55,B,lauriepowell,amanda50@cohen.net,Karina Jones,F,77
7,BYU,2018-09-04,2019-06-07,276,Tuesday,518522,GBP,31026,499996,259961,0.06205249641997136,8.378811319538451,0.5199261594092752,20-45,B,phillipstami,susanrodriguez@hotmail.com,Melissa Johnson,F,70
8,BYU,2017-01-01,2018-03-01,424,Sunday,942450,USD,29254,499997,544747,0.0585083510501063,18.621282559649963,1.089500537003222,20-40,B,phillipstami,susanrodriguez@hotmail.com,Melissa Johnson,F,70
9,BYU,2017-12-30,2019-12-29,729,Saturday,567191,GBP,52518,500000,347633,0.105036,6.61931147416124,0.695266,30-35,M,phillipstami,susanrodriguez@hotmail.com,Melissa Johnson,F,70
10,AKX,2017-05-01,2017-01-16,-105,Monday,707262,USD,35640,500000,622557,0.07128,17.46792929292929,1.245114,40-50,F,ymorrison,charlescole@gmail.com,Denise Summers,F,88
11,BYU,2016-11-21,2017-01-16,56,Monday,343244,USD,57208,499998,68411,0.11441645766583067,1.1958292546496994,0.13682254729018917,40-60,F,ymorrison,charlescole@gmail.com,Denise Summers,F,88
12,GRZ,2017-01-23,2018-03-12,413,Monday,984096,USD,65570,500002,324532,0.13113947544209822,4.949397590361446,0.649061403754385,25-45,F,ymorrison,charlescole@gmail.com,Denise Summers,F,88
13,AKX,2017-05-07,2019-03-06,668,Sunday,51234,USD,4780,499999,21096,0.00956001912003824,4.413389121338912,0.04219208438416877,35-45,M,ymorrison,charlescole@gmail.com,Denise Summers,F,88
14,KTR,2017-09-19,2019-04-29,587,Tuesday,22516,EUR,21881,500003,17658,0.043761737429575426,0.8070015081577624,0.03531578810527137,45-65,M,ymorrison,charlescole@gmail.com,Denise Summers,F,88
15,GRZ,2016-09-30,2017-11-05,401,Friday,332396,GBP,55349,500000,100117,0.110698,1.8088312345299824,0.200234,40-45,M,ymorrison,charlescole@gmail.com,Denise Summers,F,88
16,AKX,2018-04-30,2020-06-01,763,Monday,174716,USD,90578,500001,123607,0.1811556376887246,1.364647044536201,0.24721350557298885,35-60,F,bensonchristopher,lbass@hotmail.com,Ashley Barker,F,52
17,BYU,2017-05-24,2018-04-09,320,Wednesday,488931,GBP,14562,500003,46092,0.029123825257048458,3.165224557066337,0.09218344689931861,20-35,B,bensonchristopher,lbass@hotmail.com,Ashley Barker,F,52
18,BYU,2017-03-23,2018-05-07,410,Thursday,871747,USD,79551,500000,428790,0.159102,5.390127088282989,0.85758,25-45,F,bensonchristopher,lbass@hotmail.com,Ashley Barker,F,52
19,AKX,2017-06-19,2019-02-19,610,Monday,900604,USD,74999,500000,878336,0.149998,11.711302817370898,1.756672,45-60,B,bensonchristopher,lbass@hotmail.com,Ashley Barker,F,52
20,GRZ,2018-08-07,2019-08-23,381,Tuesday,325229,USD,45614,500001,81609,0.09122781754436492,1.7891217608628929,0.16321767356465286,35-50,M,stephanieturner,oirwin@yahoo.com,Nicole Carter,F,72
21,AKX,2017-05-06,2018-04-26,355,Saturday,492059,EUR,12249,499997,368686,0.024498146988881933,30.099273410074293,0.7373764242585455,40-55,F,stephanieturner,oirwin@yahoo.com,Nicole Carter,F,72
22,AKX,2017-10-11,2018-09-06,330,Wednesday,663274,USD,52972,499996,406327,0.10594484755878047,7.670599562032772,0.8126605012840102,20-30,F,vrivera,rickyfrank@gmail.com,Tamara Hall,F,61
23,AKX,2018-08-04,2019-01-07,156,Saturday,612801,GBP,73304,500000,505729,0.146608,6.899064171122995,1.011458,25-30,B,vrivera,rickyfrank@gmail.com,Tamara Hall,F,61
24,GRZ,2018-05-21,2019-05-09,353,Monday,271518,USD,33664,499999,268041,0.06732813465626931,7.962244534220532,0.5360830721661444,30-45,M,vrivera,rickyfrank@gmail.com,Tamara Hall,F,61
25,GRZ,2017-07-27,2019-01-23,545,Thursday,473020,USD,28645,500000,424220,0.05729,14.809565369174376,0.84844,20-35,M,vrivera,rickyfrank@gmail.com,Tamara Hall,F,61
26,AKX,2017-12-11,2019-06-15,551,Monday,686372,EUR,23433,500000,467169,0.046866,19.93637178338241,0.934338,35-55,B,vrivera,rickyfrank@gmail.com,Tamara Hall,F,61
27,BYU,2017-11-08,2018-06-19,223,Wednesday,967072,EUR,67356,499997,176569,0.13471280827684967,2.6214294197992754,0.35314011884071306,30-40,F,aliciahall,steincory@gmail.com,Valerie Evans,F,82
28,AKX,2017-01-12,2019-10-30,1021,Thursday,84024,EUR,81282,499999,71653,0.16256432512865027,0.8815358874043454,0.14330628661257322,30-45,M,aliciahall,steincory@gmail.com,Valerie Evans,F,82
29,BYU,2017-08-25,2018-01-22,150,Friday,787889,EUR,58863,499995,197432,0.11772717727177272,3.354093403326368,0.39486794867948677,20-40,F,itaylor,wilsonbarbara@graham.biz,Jennifer Gomez,F,71
30,GRZ,2018-05-01,2018-02-12,-78,Tuesday,401813,GBP,14405,499999,273692,0.02881005762011524,18.99979173897952,0.5473850947701896,25-45,F,itaylor,wilsonbarbara@graham.biz,Jennifer Gomez,F,71
31,BYU,2017-01-04,2018-04-15,466,Wednesday,725171,USD,65644,500003,266995,0.13128721227672635,4.067317652793858,0.5339867960792235,40-60,B,itaylor,wilsonbarbara@graham.biz,Jennifer Gomez,F,71
